FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Type of Transaction,Type of Property,Total Consideration
S92000003,Scotland,Country,2020-08,Count,Transactions,6460,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-08,Count,Transactions,250,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,460,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-07,Count,Transactions,40,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,260,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-07,Count,Transactions,520,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,120,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,1590,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-08,Count,Transactions,600,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,2940,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,730,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,290,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-08,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,2130,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,110,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,1090,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-07,Count,Transactions,5820,All,All,Not Applicable
S92000003,Scotland,Country,2020-07,Count,Transactions,220,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-07,Count,Transactions,440,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-07,Count,Transactions,280,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-07,Count,Transactions,4840,Conveyance,Residential,All
S92000003,Scotland,Country,2020-07,Count,Transactions,4840,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-07,Count,Transactions,1620,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,240,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,10300,Conveyance,Residential,All
S92000003,Scotland,Country,2020-09,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,130,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,2320,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-09,Count,Transactions,10300,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-09,Count,Transactions,70,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,1180,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,310,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-09,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,2470,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-09,Count,Transactions,11450,All,All,Not Applicable
S92000003,Scotland,Country,2020-09,Count,Transactions,510,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-09,Count,Transactions,340,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-08,Count,Transactions,6460,Conveyance,Residential,All
S92000003,Scotland,Country,2020-08,Count,Transactions,40,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,2150,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,980,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-08,Count,Transactions,280,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-08,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-08,Count,Transactions,7450,All,All,Not Applicable
S92000003,Scotland,Country,2020-09,Count,Transactions,1130,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,3690,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,4240,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-09,Count,Transactions,1150,All,Non-residential,Not Applicable
