FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Type of Transaction,Type of Property,Total Consideration
S92000003,Scotland,Country,2019-08,Count,Transactions,160,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,3490,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,1300,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2019-08,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,4620,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,390,Lease,All,Not Applicable
S92000003,Scotland,Country,2019-07,Count,Transactions,410,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2019-07,Count,Transactions,9560,Conveyance,Residential,All
S92000003,Scotland,Country,2019-07,Count,Transactions,9570,All,Residential,Not Applicable
S92000003,Scotland,Country,2019-07,Count,Transactions,1070,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2019-07,Count,Transactions,430,Lease,All,Not Applicable
S92000003,Scotland,Country,2019-07,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2019-07,Count,Transactions,530,Conveyance,Non-residential,All
S92000003,Scotland,Country,2019-07,Count,Transactions,1350,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2019-07,Count,Transactions,2000,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2019-07,Count,Transactions,400,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2019-07,Count,Transactions,200,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2019-07,Count,Transactions,3270,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-07,Count,Transactions,10930,All,All,Not Applicable
S92000003,Scotland,Country,2019-09,Count,Transactions,10360,All,All,Not Applicable
S92000003,Scotland,Country,2019-09,Count,Transactions,9120,Conveyance,Residential,All
S92000003,Scotland,Country,2019-09,Count,Transactions,4060,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,370,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2019-09,Count,Transactions,70,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,1240,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2019-10,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,350,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2019-10,Count,Transactions,1360,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2019-10,Count,Transactions,350,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2019-09,Count,Transactions,410,Lease,All,Not Applicable
S92000003,Scotland,Country,2019-09,Count,Transactions,2000,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2019-09,Count,Transactions,1030,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,2220,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2019-08,Count,Transactions,270,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,480,Conveyance,Non-residential,All
S92000003,Scotland,Country,2019-08,Count,Transactions,70,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,10160,All,Residential,Not Applicable
S92000003,Scotland,Country,2019-08,Count,Transactions,1080,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,940,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,70,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,3030,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,230,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,150,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2019-09,Count,Transactions,9120,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-05,Count,Transactions,20,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-05,Count,Transactions,40,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-05,Count,Transactions,280,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-05,Count,Transactions,240,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,180,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-04,Count,Transactions,260,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-04,Count,Transactions,100,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-05,Count,Transactions,3580,All,All,Not Applicable
S92000003,Scotland,Country,2020-05,Count,Transactions,200,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-05,Count,Transactions,1450,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-05,Count,Transactions,20,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-05,Count,Transactions,560,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-05,Count,Transactions,140,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-05,Count,Transactions,110,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-04,Count,Transactions,160,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-04,Count,Transactions,3550,All,All,Not Applicable
S92000003,Scotland,Country,2020-04,Count,Transactions,1340,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,550,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-04,Count,Transactions,600,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-04,Count,Transactions,1000,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,90,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,50,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,20,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,340,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,110,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,2940,Conveyance,Residential,All
S92000003,Scotland,Country,2020-06,Count,Transactions,440,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,230,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-06,Count,Transactions,4960,All,All,Not Applicable
S92000003,Scotland,Country,2020-06,Count,Transactions,100,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,1360,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,450,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,30,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,170,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-06,Count,Transactions,790,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-07,Count,Transactions,530,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-07,Count,Transactions,980,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-06,Count,Transactions,810,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-06,Count,Transactions,370,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-06,Count,Transactions,190,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-05,Count,Transactions,2960,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-05,Count,Transactions,2960,Conveyance,Residential,All
S92000003,Scotland,Country,2020-05,Count,Transactions,990,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-05,Count,Transactions,90,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-05,Count,Transactions,130,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-05,Count,Transactions,620,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-05,Count,Transactions,260,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,4160,Conveyance,Residential,All
S92000003,Scotland,Country,2020-06,Count,Transactions,1880,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,4170,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-06,Count,Transactions,190,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-06,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,370,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-02,Count,Transactions,530,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,2060,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,630,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,430,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-01,Count,Transactions,580,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,1600,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-02,Count,Transactions,470,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-02,Count,Transactions,7410,All,All,Not Applicable
S92000003,Scotland,Country,2020-02,Count,Transactions,1280,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-02,Count,Transactions,2860,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,40,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,6130,Conveyance,Residential,All
S92000003,Scotland,Country,2020-01,Count,Transactions,150,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,650,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,6360,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-01,Count,Transactions,6360,Conveyance,Residential,All
S92000003,Scotland,Country,2020-01,Count,Transactions,50,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,1190,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-01,Count,Transactions,260,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-01,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,400,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-01,Count,Transactions,200,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,7550,All,All,Not Applicable
S92000003,Scotland,Country,2020-01,Count,Transactions,1590,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-01,Count,Transactions,20,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,3300,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,340,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-03,Count,Transactions,70,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,1700,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-03,Count,Transactions,610,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,50,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-04,Count,Transactions,2940,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-03,Count,Transactions,500,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-04,Count,Transactions,250,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,310,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-03,Count,Transactions,7170,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-03,Count,Transactions,8430,All,All,Not Applicable
S92000003,Scotland,Country,2020-02,Count,Transactions,440,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-02,Count,Transactions,130,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,230,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-02,Count,Transactions,260,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-02,Count,Transactions,6130,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-02,Count,Transactions,230,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,790,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,7170,Conveyance,Residential,All
S92000003,Scotland,Country,2020-03,Count,Transactions,160,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,1260,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-03,Count,Transactions,2430,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-03,Count,Transactions,430,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-11,Count,Transactions,130,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,580,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-11,Count,Transactions,370,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-11,Count,Transactions,11110,All,All,Not Applicable
S92000003,Scotland,Country,2022-10,Count,Transactions,1780,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,200,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,3180,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,600,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-11,Count,Transactions,270,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-11,Count,Transactions,3070,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,9750,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-11,Count,Transactions,1720,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,2480,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-11,Count,Transactions,1380,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,10050,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-10,Count,Transactions,350,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-10,Count,Transactions,280,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-10,Count,Transactions,11360,All,All,Not Applicable
S92000003,Scotland,Country,2022-10,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,3560,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,1400,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,250,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,390,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-10,Count,Transactions,10050,Conveyance,Residential,All
S92000003,Scotland,Country,2022-10,Count,Transactions,1310,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-10,Count,Transactions,2450,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-12,Count,Transactions,670,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-12,Count,Transactions,210,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-12,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,110,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,3130,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,310,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,8800,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-12,Count,Transactions,330,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-12,Count,Transactions,1280,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2023-01,Count,Transactions,2170,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,8790,Conveyance,Residential,All
S92000003,Scotland,Country,2022-12,Count,Transactions,2170,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-12,Count,Transactions,1530,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,110,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,9740,Conveyance,Residential,All
S92000003,Scotland,Country,2022-11,Count,Transactions,400,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-11,Count,Transactions,3450,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,1360,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-11,Count,Transactions,180,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,90,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,1370,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-12,Count,Transactions,210,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,370,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-12,Count,Transactions,2740,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-11,Count,Transactions,290,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-12,Count,Transactions,10160,All,All,Not Applicable
S92000003,Scotland,Country,2022-08,Count,Transactions,320,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-07,Count,Transactions,130,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,3680,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,430,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-07,Count,Transactions,3050,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,380,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-07,Count,Transactions,2140,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-08,Count,Transactions,1800,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,190,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,360,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-08,Count,Transactions,270,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,140,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,10420,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-08,Count,Transactions,3320,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,1650,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,10660,All,All,Not Applicable
S92000003,Scotland,Country,2022-07,Count,Transactions,300,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-07,Count,Transactions,3200,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,380,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-07,Count,Transactions,1330,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,230,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,170,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,1290,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-07,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-07,Count,Transactions,540,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-07,Count,Transactions,9370,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-09,Count,Transactions,1270,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-09,Count,Transactions,270,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,1330,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,530,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-09,Count,Transactions,130,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,390,Lease,All,Not Applicable
S92000003,Scotland,Country,2022-09,Count,Transactions,1590,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,280,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2022-09,Count,Transactions,3250,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2022-10,Count,Transactions,130,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,2270,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-09,Count,Transactions,10610,All,All,Not Applicable
S92000003,Scotland,Country,2022-09,Count,Transactions,350,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2022-09,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,2450,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2022-08,Count,Transactions,580,Conveyance,Non-residential,All
S92000003,Scotland,Country,2022-08,Count,Transactions,1480,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,1360,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2022-08,Count,Transactions,10420,Conveyance,Residential,All
S92000003,Scotland,Country,2022-08,Count,Transactions,70,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,9340,All,Residential,Not Applicable
S92000003,Scotland,Country,2022-09,Count,Transactions,150,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,3040,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-09,Count,Transactions,70,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2022-08,Count,Transactions,11780,All,All,Not Applicable
S92000003,Scotland,Country,2022-09,Count,Transactions,9330,Conveyance,Residential,All
S92000003,Scotland,Country,2023-04,Count,Transactions,180,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2023-04,Count,Transactions,1110,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,150,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,380,Lease,All,Not Applicable
S92000003,Scotland,Country,2023-04,Count,Transactions,7430,Conveyance,Residential,All
S92000003,Scotland,Country,2023-04,Count,Transactions,1360,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2023-04,Count,Transactions,990,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,80,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2023-05,Count,Transactions,1310,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,8050,All,Residential,Not Applicable
S92000003,Scotland,Country,2023-05,Count,Transactions,1810,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2023-05,Count,Transactions,2910,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2023-05,Count,Transactions,330,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2023-05,Count,Transactions,2690,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-04,Count,Transactions,1800,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2023-04,Count,Transactions,310,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2023-04,Count,Transactions,60,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2023-04,Count,Transactions,2440,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2023-04,Count,Transactions,2830,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2023-04,Count,Transactions,420,Lease,All,Not Applicable
S92000003,Scotland,Country,2023-04,Count,Transactions,300,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2023-04,Count,Transactions,630,Conveyance,Non-residential,All
